PROBEID	GENENAME
207068_at	ZFP37 zinc finger protein
207069_s_at	SMAD family member 6
207070_at	retinal G protein coupled receptor
207071_s_at	aconitase 1, soluble
207072_at	interleukin 18 receptor accessory protein
207073_at	cyclin-dependent kinase-like 2 (CDC2-related kinase)
207074_s_at	solute carrier family 18 (vesicular monoamine transporter), member 1
207075_at	NLR family, pyrin domain containing 3
207076_s_at	argininosuccinate synthase 1
207077_at	chymotrypsin-like elastase family, member 2B
207078_at	mediator complex subunit 6
207079_s_at	mediator complex subunit 6
207080_s_at	peptide YY
207081_s_at	phosphatidylinositol 4-kinase, catalytic, alpha
207082_at	colony stimulating factor 1 (macrophage)
207083_s_at	coiled-coil and C2 domain containing 1A
207084_at	POU class 3 homeobox 2
207085_x_at	colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)
207086_x_at	G antigen 4
207086_x_at	G antigen 1
207086_x_at	G antigen 2C
207086_x_at	G antigen 5
207086_x_at	G antigen 6
207086_x_at	G antigen 7
207086_x_at	G antigen 12I
207086_x_at	G antigen 2E
207086_x_at	G antigen 13
207086_x_at	G antigen 12G
207086_x_at	G antigen 12J
207086_x_at	G antigen 2D
207086_x_at	G antigen 12C
207086_x_at	G antigen 12B
207086_x_at	G antigen 12E
207086_x_at	G antigen 12H
207086_x_at	G antigen 2A
207086_x_at	G antigen 12F
207086_x_at	G antigen 8
207086_x_at	G antigen 12D
207087_x_at	ankyrin 1, erythrocytic
207088_s_at	solute carrier family 25 (mitochondrial carrier; oxoglutarate carrier), member 11
207089_at	nebulin-related anchoring protein
207090_x_at	ZFP30 zinc finger protein
207091_at	purinergic receptor P2X, ligand gated ion channel, 7
207092_at	leptin
207093_s_at	oligodendrocyte myelin glycoprotein
207093_s_at	uncharacterized LOC101927057
207094_at	chemokine (C-X-C motif) receptor 1
207095_at	solute carrier family 10 (sodium/bile acid cotransporter), member 2
207096_at	serum amyloid A4, constitutive
207096_at	SAA2-SAA4 readthrough
207097_s_at	solute carrier family 17, member 2
207098_s_at	mitofusin 1
207099_s_at	choroideremia (Rab escort protein 1)
207100_s_at	vesicle-associated membrane protein 1 (synaptobrevin 1)
207101_at	vesicle-associated membrane protein 1 (synaptobrevin 1)
207102_at	aldo-keto reductase family 1, member D1
207103_at	potassium channel, voltage gated Shal related subfamily D, member 2
207104_x_at	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 1
207105_s_at	phosphoinositide-3-kinase, regulatory subunit 2 (beta)
207106_s_at	leukocyte receptor tyrosine kinase
207107_at	retinal pigment epithelium-specific protein 65kDa
207108_s_at	Nipped-B homolog (Drosophila)
207109_at	POU class 2 homeobox 3
207110_at	potassium channel, inwardly rectifying subfamily J, member 12
207110_at	potassium channel, inwardly rectifying subfamily J, member 18
207111_at	adhesion G protein-coupled receptor E1
207112_s_at	GRB2-associated binding protein 1
207113_s_at	tumor necrosis factor
207114_at	lymphocyte antigen 6 complex, locus G6C
207115_x_at	mbt domain containing 1
207116_s_at	glyceraldehyde-3-phosphate dehydrogenase, spermatogenic
207117_at	zinc finger protein 117
207118_s_at	matrix metallopeptidase 23B
207118_s_at	matrix metallopeptidase 23A (pseudogene)
207119_at	protein kinase, cGMP-dependent, type I
207120_at	zinc finger protein 667
207121_s_at	mitogen-activated protein kinase 6
207122_x_at	sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2
207123_s_at	matrilin 4
207124_s_at	guanine nucleotide binding protein (G protein), beta 5
207125_at	zinc finger protein 225
207126_x_at	UDP glucuronosyltransferase 1 family, polypeptide A1
207126_x_at	UDP glucuronosyltransferase 1 family, polypeptide A10
207126_x_at	UDP glucuronosyltransferase 1 family, polypeptide A8
207126_x_at	UDP glucuronosyltransferase 1 family, polypeptide A6
207126_x_at	UDP glucuronosyltransferase 1 family, polypeptide A9
207126_x_at	UDP glucuronosyltransferase 1 family, polypeptide A4
207127_s_at	heterogeneous nuclear ribonucleoprotein H3 (2H9)
207128_s_at	zinc finger protein 223
207129_at	carbonic anhydrase VB, mitochondrial
207130_at	zinc finger, MYND-type containing 8
207131_x_at	gamma-glutamyltransferase 1
207131_x_at	gamma-glutamyltransferase light chain 2
207131_x_at	gamma-glutamyltransferase light chain 1
207131_x_at	gamma-glutamyltransferase 2
207132_x_at	prefoldin subunit 5
207133_x_at	alpha-kinase 1
207134_x_at	tryptase beta 2 (gene/pseudogene)
207135_at	5-hydroxytryptamine (serotonin) receptor 2A, G protein-coupled
207136_at	arrestin 3, retinal (X-arrestin)
207137_at	tonsoku-like, DNA repair protein
207138_at	PHD finger protein 2
207139_at	ATPase, H+/K+ exchanging, alpha polypeptide
207140_at	alkaline phosphatase, intestinal
207141_s_at	potassium channel, inwardly rectifying subfamily J, member 3
207142_at	potassium channel, inwardly rectifying subfamily J, member 3
207143_at	cyclin-dependent kinase 6
207144_s_at	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1
207145_at	myostatin
207146_at	keratin 32, type I
207147_at	distal-less homeobox 2
207148_x_at	myozenin 2
207149_at	cadherin 12, type 2 (N-cadherin 2)
207150_at	solute carrier family 18 (vesicular acetylcholine transporter), member 3
207151_at	adenylate cyclase activating polypeptide 1 (pituitary) receptor type I
207152_at	neurotrophic tyrosine kinase, receptor, type 2
207153_s_at	glomulin, FKBP associated protein
207154_at	deiodinase, iodothyronine, type III
207155_at	T-box 5
207156_at	histone cluster 1, H2ag
207156_at	histone cluster 1, H2ai
207156_at	histone cluster 1, H2ak
207156_at	histone cluster 1, H2al
207156_at	histone cluster 1, H2am
207156_at	histone cluster 1, H2ah
207157_s_at	guanine nucleotide binding protein (G protein), gamma 5
207158_at	apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1
207159_x_at	CREB regulated transcription coactivator 1
207160_at	interleukin 12A
207161_at	KIAA0087
207162_s_at	calcium channel, voltage-dependent, N type, alpha 1B subunit
207163_s_at	v-akt murine thymoma viral oncogene homolog 1
207164_s_at	zinc finger and BTB domain containing 18
207165_at	hyaluronan-mediated motility receptor (RHAMM)
207166_at	guanine nucleotide binding protein (G protein), gamma transducing activity polypeptide 1
207167_at	CD101 molecule
207168_s_at	H2A histone family, member Y
207169_x_at	discoidin domain receptor tyrosine kinase 1
207169_x_at	microRNA 4640
207170_s_at	LETM1 domain containing 1
207172_s_at	cadherin 11, type 2, OB-cadherin (osteoblast)
207173_x_at	cadherin 11, type 2, OB-cadherin (osteoblast)
207174_at	glypican 5
207175_at	adiponectin, C1Q and collagen domain containing
207176_s_at	CD80 molecule
207177_at	prostaglandin F receptor (FP)
207178_s_at	fyn-related Src family tyrosine kinase
207179_at	T-cell leukemia homeobox 1
207180_s_at	HIV-1 Tat interactive protein 2, 30kDa
207181_s_at	caspase 7, apoptosis-related cysteine peptidase
207182_at	gamma-aminobutyric acid (GABA) A receptor, alpha 6
207183_at	G protein-coupled receptor 19
207184_at	solute carrier family 6 (neurotransmitter transporter), member 13
207185_at	solute carrier family 10 (sodium/bile acid cotransporter), member 1
207186_s_at	bromodomain PHD finger transcription factor
207187_at	Janus kinase 3
207188_at	cyclin-dependent kinase 3
207188_at	TEN1-CDK3 readthrough (NMD candidate)
207189_s_at	zinc finger, ZZ-type with EF-hand domain 1
207190_at	zinc finger, ZZ-type with EF-hand domain 1
207191_s_at	immunoglobulin superfamily containing leucine-rich repeat
207192_at	deoxyribonuclease I-like 2
207193_at	agouti related neuropeptide
207194_s_at	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)
207195_at	contactin 6
207196_s_at	TNFAIP3 interacting protein 1
207197_at	Zic family member 3
207198_s_at	LIM and senescent cell antigen-like domains 1
207198_s_at	LIM and senescent cell antigen-like domains 3-like
207199_at	telomerase reverse transcriptase
207200_at	ornithine carbamoyltransferase
207201_s_at	solute carrier family 22 (organic cation transporter), member 1
207202_s_at	nuclear receptor subfamily 1, group I, member 2
207203_s_at	nuclear receptor subfamily 1, group I, member 2
207204_at	fascin actin-bundling protein 2, retinal
207205_at	carcinoembryonic antigen-related cell adhesion molecule 4
207206_s_at	arachidonate 12-lipoxygenase
207207_at	RNA binding motif protein, X-linked-like 2
207208_at	RNA binding motif protein, X-linked-like 2
207209_at	centrin, EF-hand protein, 1
207210_at	gamma-aminobutyric acid (GABA) A receptor, alpha 3
207211_at	ubiquitin specific peptidase 2
207212_at	solute carrier family 9, subfamily A (NHE3, cation proton antiporter 3), member 3
207213_s_at	ubiquitin specific peptidase 2
207214_at	serine peptidase inhibitor, Kazal type 4
207215_at	glutathione S-transferase theta pseudogene 1
207216_at	tumor necrosis factor (ligand) superfamily, member 8
207217_s_at	NADPH oxidase 1
207218_at	coagulation factor IX
207219_at	ZFP69 zinc finger protein B
207220_at	ADP-ribosyltransferase 4 (Dombrock blood group)
207221_at	coagulation factor II (thrombin) receptor-like 3
207222_at	phospholipase A2, group X
207222_at	group 10 secretory phospholipase A2-like
207223_s_at	polypyrimidine tract binding protein 3
207224_s_at	sialic acid binding Ig-like lectin 7
207225_at	aralkylamine N-acetyltransferase
207226_at	histone cluster 1, H2bn
207227_x_at	ret finger protein-like 2
207228_at	protein kinase, cAMP-dependent, catalytic, gamma
207229_at	killer cell lectin-like receptor subfamily A pseudogene 1
207230_at	cell adhesion associated, oncogene regulated
207231_at	DAZ interacting zinc finger protein 3
207232_s_at	DAZ interacting zinc finger protein 3
207233_s_at	microphthalmia-associated transcription factor
207234_at	regulatory factor X, 3 (influences HLA class II expression)
207235_s_at	glutamate receptor, metabotropic 5
207236_at	zinc finger protein 345
207237_at	potassium channel, voltage gated shaker related subfamily A, member 3
207238_s_at	protein tyrosine phosphatase, receptor type, C
207239_s_at	cyclin-dependent kinase 16
207240_s_at	luteinizing hormone/choriogonadotropin receptor
207241_at	long intergenic non-protein coding RNA 1587
207242_s_at	glutamate receptor, ionotropic, kainate 1
207243_s_at	calmodulin 2 (phosphorylase kinase, delta)
207243_s_at	calmodulin 1 (phosphorylase kinase, delta)
207243_s_at	calmodulin 3 (phosphorylase kinase, delta)
207244_x_at	cytochrome P450, family 2, subfamily A, polypeptide 6
207245_at	UDP glucuronosyltransferase 2 family, polypeptide B17
207246_at	zinc finger protein, Y-linked
207247_s_at	zinc finger protein, Y-linked
207247_s_at	zinc finger protein, X-linked
207248_at	potassium channel, voltage gated shaker related subfamily A, member 4
207249_s_at	solute carrier family 28 (concentrative nucleoside transporter), member 2
207250_at	SIX homeobox 6
207251_at	meprin A, beta
207252_at	inactivation escape 1 (non-protein coding)
207253_s_at	ubinuclein 1
207254_at	solute carrier family 15 (oligopeptide transporter), member 1
207255_at	leptin receptor
207255_at	leptin receptor overlapping transcript
207256_at	mannose-binding lectin (protein C) 2, soluble
207257_at	erythropoietin
207258_at	Down syndrome critical region 4
207259_at	long intergenic non-protein coding RNA 483
207260_at	FEV (ETS oncogene family)
207261_at	cyclic nucleotide gated channel alpha 3
207262_at	apolipoprotein F
207263_x_at	vezatin, adherens junctions transmembrane protein
207264_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
207265_s_at	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 3
207266_x_at	RNA binding motif, single stranded interacting protein 1
207267_s_at	ripply transcriptional repressor 3
207268_x_at	abl-interactor 2
207269_at	defensin, alpha 4, corticostatin
207270_x_at	CD300c molecule
207271_x_at	sperm associated antigen 11B
207271_x_at	sperm associated antigen 11A
207272_at	zinc finger protein 80
207273_at	NA
207274_at	cholinergic receptor, nicotinic, epsilon (muscle)
207275_s_at	acyl-CoA synthetase long-chain family member 1
207276_at	cerebellar degeneration-related protein 1, 34kDa
207277_at	CD209 molecule
207278_s_at	CD209 molecule
207279_s_at	nebulette
207280_at	RNF185 antisense RNA 1
207281_x_at	variable charge, X-linked 2
207282_s_at	myogenin (myogenic factor 4)
207283_at	ribosomal protein L23a pseudogene 32
207284_s_at	aspartate beta-hydroxylase
207285_x_at	chorionic somatomammotropin hormone-like 1
207286_at	centrosomal protein 135kDa
207287_at	BIN3 intronic transcript 1
207288_at	ASMTL antisense RNA 1
207289_at	matrix metallopeptidase 25
207290_at	plexin A2
207291_at	proline rich Gla (G-carboxyglutamic acid) 4 (transmembrane)
207292_s_at	mitogen-activated protein kinase 7
207293_s_at	angiotensin II receptor, type 2
207294_at	angiotensin II receptor, type 2
207295_at	sodium channel, non voltage gated 1 gamma subunit
207296_at	zinc finger protein 343
207298_at	solute carrier family 17 (organic anion transporter), member 3
207299_s_at	glutamate receptor, metabotropic 1
207300_s_at	coagulation factor VII (serum prothrombin conversion accelerator)
207301_at	ephrin-A5
207302_at	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein)
207303_at	phosphodiesterase 1C, calmodulin-dependent 70kDa
207304_at	zinc finger protein 45
207305_s_at	trafficking protein particle complex 8
207306_at	transcription factor 15 (basic helix-loop-helix)
207307_at	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled
207308_at	solute carrier organic anion transporter family, member 1A2
207309_at	nitric oxide synthase 1 (neuronal)
207310_s_at	nitric oxide synthase 1 (neuronal)
207311_at	double C2-like domains, beta
207312_at	phosphorylase kinase, gamma 1 (muscle)
207313_x_at	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2
207313_x_at	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1
207314_x_at	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 2
207314_x_at	killer cell immunoglobulin-like receptor, three domains, long cytoplasmic tail, 1
207315_at	CD226 molecule
207316_at	hyaluronan synthase 1
207317_s_at	calsequestrin 2 (cardiac muscle)
207318_s_at	cyclin-dependent kinase 13
207319_s_at	cyclin-dependent kinase 13
207320_x_at	staufen double-stranded RNA binding protein 1
207321_s_at	ATP-binding cassette, sub-family B (MDR/TAP), member 9
207322_at	intersectin 1 (SH3 domain protein)
207323_s_at	myelin basic protein
207324_s_at	desmocollin 1
207325_x_at	melanoma antigen family A1
207326_at	betacellulin
207327_at	EYA transcriptional coactivator and phosphatase 4
207328_at	arachidonate 15-lipoxygenase
207329_at	matrix metallopeptidase 8
207330_at	pregnancy-zone protein
207331_at	centromere protein F, 350/400kDa
207332_s_at	transferrin receptor
207333_at	neuromedin B receptor
207334_s_at	transforming growth factor, beta receptor II (70/80kDa)
207335_x_at	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E
207336_at	SRY (sex determining region Y)-box 5
207337_at	cancer/testis antigen 2
207338_s_at	zinc finger protein 200
207339_s_at	lymphotoxin beta (TNF superfamily, member 3)
207341_at	proteinase 3
207342_at	cyclic nucleotide gated channel beta 1
207343_at	lysozyme-like 6
207344_at	A kinase (PRKA) anchor protein 3
207345_at	follistatin
207346_at	syntaxin 2
207347_at	excision repair cross-complementation group 6
207348_s_at	ligase III, DNA, ATP-dependent
207349_s_at	uncoupling protein 3 (mitochondrial, proton carrier)
207350_s_at	vesicle-associated membrane protein 4
207351_s_at	SH2 domain containing 2A
207352_s_at	gamma-aminobutyric acid (GABA) A receptor, beta 2
207353_s_at	H6 family homeobox 1
207354_at	chemokine (C-C motif) ligand 16
207355_at	solute carrier family 1 (glutamate transporter), member 7
207356_at	defensin, beta 4A
207356_at	defensin, beta 4B
207357_s_at	polypeptide N-acetylgalactosaminyltransferase 10
207358_x_at	microtubule-actin crosslinking factor 1
207359_at	calcium/calmodulin-dependent protein kinase kinase 2, beta
207360_s_at	neurotensin receptor 1 (high affinity)
207361_at	HMG-box transcription factor 1
207362_at	solute carrier family 30 (zinc transporter), member 4
207363_at	retinoschisin 1
